Dia,Final,Descripcion,Lectivo,Tipo,Formato
2016-09-02,NA,Jornada de Bienvenida,FALSE,ETSIDI,fiesta
2016-09-05,2016-12-22,Primer semestre,TRUE,Grado,lectivo
2016-10-12,NA,Fiesta Nacional,TRUE,ETSIDI,fiesta 
2016-10-29,2016-10-31,Campeonato INTER EUITI,TRUE,ETSIDI,NA
2016-11-01,NA,Fiesta Nacional,TRUE,ETSIDI,fiesta
2016-11-07,NA,Horario de miércoles,TRUE,ETSIDI,especial
2016-11-09,NA,Fiesta Local,TRUE,ETSIDI,fiesta 
2016-11-12,2016-11-19,Semana ATHENS,FALSE,ETSIDI,
2016-12-01,NA,Examen Nivel Lengua Inglesa ,TRUE,Grado,examen
2016-12-06,NA,Fiesta Nacional,TRUE,ETSIDI,fiesta
2016-12-08,NA,Fiesta Nacional,TRUE,ETSIDI,fiesta
2016-12-23,2017-01-08,Vacaciones de Navidad,TRUE,ETSIDI,fiesta
2017-01-09,2017-01-24,Exámenes del primer semestre,TRUE,Grado,examen
2017-01-23,2017-02-06,Matrícula,TRUE,Grado,matricula
2017-01-28,NA,Santo Tomás de Aquino,FALSE,ETSIDI,fiesta
2017-02-01,2017-05-30,Segundo semestre,TRUE,Grado,lectivo
2017-03-15,2017-03-18,Semana ATHENS,FALSE,ETSIDI,NA
2017-03-15,NA,Fiesta ETSIDI,FALSE,ETSIDI,fiesta
2017-04-20,NA,Horario de lunes,TRUE,ETSIDI,especial
2017-04-10,2017-04-18,Vacaciones de Semana Santa,TRUE,ETSIDI,fiesta
2017-05-01,NA,Fiesta Nacional,FALSE,ETSIDI,fiesta
2017-05-02,NA,Fiesta Local,FALSE,ETSIDI,fiesta
2017-05-04,NA,Examen Nivel Lengua Inglesa ,TRUE,Grado,examen
2017-05-15,NA,Fiesta Local,TRUE,ETSIDI,fiesta
2017-05-17,NA,Horario de lunes,TRUE,ETSIDI,especial
2017-06-05,2017-06-20,Exámenes del segundo semestre,TRUE,Grado,examen
2017-06-29,2017-07-19,Exámenes extraordinarios,TRUE,Grado,examen
2017-07-17,2017-07-31,Matrícula,TRUE,Grado,matricula
2016-10-12,2016-09-05,Matrícula,TRUE,Master,matricula
2016-09-13,2017-01-13,Primer semestre,TRUE,Master,lectivo
2017-01-16,2017-01-31,Exámenes del primer semestre,TRUE,Master,examen
2017-01-30,2017-02-10,Matrícula,TRUE,Master,matricula
2017-02-02,2017-05-30,Segundo semestre,TRUE,Master,lectivo
2017-06-28,2017-07-13,Exámenes extraordinarios,TRUE,Master,examen
2017-07-17,2017-07-31,Matrícula,TRUE,Master,matricula
