"Inicio","Final","Descripcion","Lectivo","Tipo","Formato"
"2021-09-01","2022-01-23","Primer semestre",TRUE,"ETSIDI","normal"
"2021-09-05","2021-09-09","Matrícula: periodo extraordinario alumnos nuevo ingreso",TRUE,"Grado","matricula"
"2021-09-05","2021-09-13","Matrícula",TRUE,"Master","matricula"
"2021-09-09","2021-09-09","Jornada de Bienvenida",FALSE,"Grado","evento"
"2021-09-10","2021-12-20","Docencia",TRUE,"Grado","lectivo"
"2021-09-17","2021-12-13","Docencia",TRUE,"Master","lectivo"
"2021-09-27","2021-09-27","Noche de los Investigadores",TRUE,"ETSIDI","evento"
"2021-10-12","2021-10-12","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2021-10-30","2021-10-30","Horario de viernes",TRUE,"ETSIDI","especial"
"2021-11-01","2021-11-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2021-11-02","2021-11-02","No lectivo",FALSE,"ETSIDI","noLectivo"
"2021-11-09","2021-11-09","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2021-11-12","2021-11-12","Horario de viernes",TRUE,"ETSIDI","especial"
"2021-11-16","2021-11-24","Semana ATHENS",TRUE,"ETSIDI","evento"
"2021-12-05","2021-12-05","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2021-12-06","2021-12-06","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2021-12-07","2021-12-07","No lectivo",FALSE,"ETSIDI","noLectivo"
"2021-12-08","2021-12-08","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2021-12-09","2021-12-09","No lectivo (8 de Diciembre.Inmaculada Concepción se traslada al lunes)",FALSE,"ETSIDI","fiesta"
"2021-12-10","2021-12-10","Horario de lunes",TRUE,"ETSIDI","especial"
"2021-12-10","2022-12-10","Fin plazo presentación propuestas TFG para defensa convocatoria febrero",TRUE,"Grado","transparent"
"2021-12-10","2022-12-10","Fin plazo presentación propuestas TFM para defensa convocatoria febrero",TRUE,"Grado","transparent"
"2021-12-21","2022-01-07","Vacaciones de Navidad",FALSE,"ETSIDI","fiesta"
"2022-01-08","2022-01-24","Exámenes del primer semestre",TRUE,"Grado","examen"
"2022-01-08","2022-01-24","Exámenes del primer semestre",TRUE,"Master","examen"
"2022-01-24","2022-08-31","Segundo semestre",TRUE,"ETSIDI","normal"
"2022-01-27","2022-01-31","Desmatriculación",TRUE,"ETSIDI","matricula"
"2022-01-27","2022-01-31","Entrega del TFG",TRUE,"Grado","transparent"
"2022-01-27","2022-01-31","Entrega del TFM",TRUE,"Master","transparent"
"2022-01-28","2022-01-28","Fiesta Santo Tomás de Aquino",FALSE,"ETSIDI","fiesta"
"2022-02-02","2022-02-13","Defensa del TFM",TRUE,"Master","transparent"
"2022-02-03","2022-02-07","Ampliación de matrícula",TRUE,"ETSIDI","matricula"
"2022-02-03","2022-02-21","Defensa del TFG",TRUE,"Grado","transparent"
"2022-02-04","2022-05-22","Docencia",TRUE,"Grado","lectivo"
"2022-02-04","2022-05-08","Docencia",TRUE,"Master","lectivo"
"2022-03-14","2022-03-22","Semana ATHENS",TRUE,"ETSIDI","evento"
"2022-03-19","2022-03-19","Horario de viernes",TRUE,"ETSIDI","especial"
"2022-03-20","2022-03-20","Fiesta ETSIDI",FALSE,"ETSIDI","fiesta"
"2022-04-01","2022-04-01","No lectivo",FALSE,"Master","noLectivo"
"2022-04-04","2022-04-13","Vacaciones de Semana Santa",FALSE,"ETSIDI","fiesta"
"2022-04-14","2022-04-14","Horario de lunes",TRUE,"ETSIDI","especial"
"2022-05-01","2022-05-01","Fiesta Nacional",FALSE,"ETSIDI","fiesta"
"2022-05-02","2022-05-02","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2022-05-07","2022-05-07","Examen Nivel Lengua Inglesa",TRUE,"Grado","evento"
"2022-05-13","2022-05-13","Horario de viernes",TRUE,"Grado","especial"
"2022-05-15","2022-05-15","Fiesta Local",FALSE,"ETSIDI","fiesta"
"2022-05-22","2022-05-22","Fin plazo presentación propuestas TFG para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2022-05-22","2022-05-22","Fin plazo presentación propuestas TFM para defensa convocatorias junio y julio",TRUE,"Grado","transparent"
"2022-05-28","2022-06-13","Exámenes del segundo semestre",TRUE,"ETSIDI","examen"
"2022-06-22","2022-06-26","Entrega del TFG",TRUE,"Grado","transparent"
"2022-06-22","2022-06-26","Entrega del TFM",TRUE,"Master","transparent"
"2022-06-22","2022-07-11","Exámenes extraordinarios",TRUE,"ETSIDI","examen"
"2022-06-29","2022-07-17","Defensa del TFG",TRUE,"Grado","transparent"
"2022-06-29","2022-07-10","Defensa del TFM",TRUE,"Master","transparent"
